id,name,type,address,water_quality,price,room_size,bed_type,ac,beds,mattress_thickness,study_space,power_outlets,wardrobe_units,ventilation,washroom_spec,staff_roster,amenities,mess_quality,gate_timings,image,latitude,longitude
15,Savitribai Girls Campus,Girls,Pune,Municipal Supply Only,4000,160 sq ft,Triple Tier Bunk Stack,Non-AC,Multiple Sharing,3-Inch Basic Cotton,Central Long Reading Bench,1 Shared Power Node,Wall Almirah Segments,Wide Mesh Window Pane,Common Indian Washrooms,"[Warden: V. Patil-Age 52-Female]","Laundry Access",Govt Subsidized 2-Meal Plan,08:00 PM Sharp Curfew,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf,18.5089,73.9260
16,Venkateshwara Boys PG,Boys,Chennai,Standard Filtered Water,6100,145 sq ft,Simple Iron Single,Non-AC,Double Sharing,4-Inch Regular Foam,Standard Corner Table,2 Ports,Two Separate Slim Cabinets,Standard Air Window,Attached Indian Bathroom,"[Caretaker: R. Murugan-Age 43-Male]","WiFi",3-Meal Sambhar Rice Focus Diet,10:30 PM Entry Limit,https://images.unsplash.com/photo-1566140967404-b878994e2026,12.9792,80.2195
17,Padmini Girls Stay,Girls,Delhi,Standard Filtered Water,6700,155 sq ft,Iron Frame Single Bed,Non-AC,Single Room,4-Inch Foam,Standard Ply Desk with Lamp,2 Ports,Single Standing Almirah,Standard Window Track,Attached Indian Washroom,"[Warden: Kamla Devi-Age 55-Female]","WiFi",3-Meal Regular North Veg,08:30 PM Sign-In Rule,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf,28.6670,77.1650
18,Tirupati Boys Sadan,Boys,Chennai,Municipal Supply Only,5300,140 sq ft,Iron Single Bed,Non-AC,Triple Sharing,4-Inch Cotton Gaddi,Common Study Hall Table Rows,1 Port near Bed,Single Slim Steel Safe,Standard Window,Common Indian Stack,"[Guard: Ranganathan-Age 58-Male]","Power Backup Units",2-Meal Traditional Menu,10:00 PM Locking,https://images.unsplash.com/photo-1596276020587-8044fe249d5a,12.9249,80.1001
19,Sahyadri Boys Castle,Boys,Pune,Municipal Supply Only,4600,150 sq ft,Iron Frame Triple Stack,Non-AC,Multiple Sharing,3-Inch Regular Cotton Gaddi,Shared Group Reading Tables,1 Shared Extension Strip,Small Metal Compartments,Standard Air Window Setup,Common Indian Toilets Block,"[Caretaker: Maruti-Age 42-Male]","Laundry Access",2-Meal Basic Maharashtrian Menu,10:30 PM Strict Lock Up,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,18.5018,73.8636
20,Anna Girls Residency,Girls,Chennai,Standard Filtered Water,5900,150 sq ft,Metal Single Frame Twin,Non-AC,Double Sharing,4-Inch Regular Foam,Standard Double Study Setup,2 Ports,Two Separate Steel Cabinets,Standard Mesh Window,Attached Indian Bathroom,"[Warden: R. Rajeshwari-Age 54-Female]","WiFi",3-Meal South Indian Specialized Menu,09:00 PM Traditional Log Register,https://images.unsplash.com/photo-1554995207-c18c203602cb,12.9032,80.2281
21,Kalyani Girls Hostel,Girls,Kolkata,Standard Filtered Water,4800,140 sq ft,Wooden Cot Single,Non-AC,Double Sharing,3-Inch Coir Bed,Small Study Table,1 Port,Single Wooden Almirah,Standard Window,Common Indian Washroom,"[Warden: S. Mukherjee-Age 50-Female]","CCTV Monitored",3-Meal Bengali Rice Menu,09:00 PM Gate Close,https://images.unsplash.com/photo-1513694203232-719a280e022f,22.5726,88.3639
22,Shiva Boys PG,Varanasi,Municipal Supply Only,4200,130 sq ft,Iron Single Frame,Non-AC,Single Bed,3-Inch Cotton Gaddi,Small Plastic Table,1 Port,Single Metal Box,Mesh Screen Vent,Common Indian Toilet,"[Caretaker: Mishra Ji-Age 46-Male]","Power Backup",Basic 2-Meal Veg Menu,10:00 PM Lock,https://images.unsplash.com/photo-1586023492125-27b2c045efd7,25.3176,82.9739
23,Maheshwari Boys Hostel,Boys,Kota,Standard Filtered Water,5500,125 sq ft,Simple Wooden Cot,Non-AC,Single Bed,4-Inch Foam,Coaching Row Desk,2 Ports,Single Cupboard,Wall Mesh Window,Attached Indian Style,"[Guard: Ram Singh-Age 40-Male]","WiFi",3-Meal Simple Student Diet,10:00 PM Strict Curfew,https://images.unsplash.com/photo-1596276020587-8044fe249d5a,25.1415,75.8482
24,Balaji Girls Sadan,Girls,Vijayawada,Municipal Supply Only,5000,145 sq ft,Metal Frame Bed,Non-AC,Double Sharing,3-Inch Cotton Bed,Shared Table Unit,1 Port,Two Separate Metal Safes,Standard Air Window,Common Indian Stack,"[Warden: Lakshmi-Age 52-Female]","CCTV Monitored",3-Meal Andhra Meals,08:30 PM Lock,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf,16.5062,80.6480
25,Royal Boys PG,Bhopal,Standard Filtered Water,4900,135 sq ft,Iron Frame Single,Non-AC,Double Sharing,4-Inch Cotton Gaddi,Corner Study Plank,2 Ports,Two Paint-Coated Lockers,Standard Window,Attached Western Toilet,"[Caretaker: Shrivastava-Age 39-Male]","WiFi",2-Meal Basic Scheme,10:30 PM Entry Limit,https://images.unsplash.com/photo-1555854877-bab0e564b8d5,23.2599,77.4126
26,Nirmala Girls Stay,Girls,Ranchi,Municipal Supply Only,4600,140 sq ft,Simple Wooden Twin,Non-AC,Double Sharing,3-Inch Foam,Small Plywood Table,1 Port,Two Fabric Wardrobes,Standard Mesh Vent,Common Indian Bathroom,"[Warden: Asha Devi-Age 48-Female]","Security Guard",2-Meal Basic Diet Plan,08:00 PM Sharp Curfew,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf,23.3441,85.3096
27,Tagore Boys Mansion,Boys,Kolkata,Standard Filtered Water,5100,150 sq ft,Heavy Duty Iron Single,Non-AC,Triple Sharing,4-Inch Cotton Bed,Common Reading Bench,2 Ports Shared,Three Tiny Wall Cabinets,Double Panel Window,Common Indian Block,"[Guard: Biswas-Age 54-Male]","WiFi Access",3-Meal Standard Fish/Veg Menu,10:00 PM Door Close,https://images.unsplash.com/photo-1566140967404-b878994e2026,22.5629,88.3962
28,Malabar Boys Lodge,Boys,Calicut,Municipal Supply Only,4000,130 sq ft,Iron Bunk Bed,Non-AC,Multiple Sharing,3-Inch Basic Cotton,Common Table Rows,1 Power Extension,Small Metal Lockers,Standard Window Track,Common Toilets Block,"[Owner: K. Nair-Age 60-Male]","No Extra Amenities",2-Meal Kerala Style Menu,09:30 PM Locking,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,11.2588,75.7804
29,Sharda Girls Niwas,Girls,Jaipur,Standard Filtered Water,5800,150 sq ft,Simple Ply Bed,Non-AC,Double Sharing,4-Inch Foam,Two Small Corner Desks,2 Ports,Two Separate Lockers,Standard Mesh Window,Attached Indian Bathroom,"[Warden: Vimla Tyagi-Age 53-Female]","WiFi,Power Backup",3-Meal Rajasthani Veg,09:00 PM Gate Lock,https://images.unsplash.com/photo-1554995207-c18c203602cb,26.9124,75.7873
30,Patel Boys Hostel,Boys,Ahmedabad,Municipal Supply Only,4700,135 sq ft,Iron Single Frame,Non-AC,Double Sharing,3-Inch Cotton Cot,Linear Shared Table,1 Port,Two Painted Almirahs,Standard Window Panel,Common Indian Style,"[Supervisor: H. Patel-Age 41-Male]","CCTV Security",3-Meal Gujarati Veg Diet,10:30 PM Lock,https://images.unsplash.com/photo-1513694203232-719a280e022f,23.0225,72.5714
31,Kamla Girls Sadan,Girls,Kanpur,Municipal Supply Only,4300,140 sq ft,Triple Tier Bunk,Non-AC,Multiple Sharing,3-Inch Basic Cotton,Central Group Bench,1 Shared Extension,Wall Locker Units,Wide Mesh Window,Common Indian Block,"[Warden: S. Mishra-Age 56-Female]","Laundry Space",2-Meal Basic Menu Routine,08:00 PM Strict Curfew,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf,26.4499,80.3319
32,Gurukul Boys HUB,Boys,Roorkee,Standard Filtered Water,5300,145 sq ft,Simple Hardwood Bed,Non-AC,Double Sharing,4-Inch Coir Mattress,Individual Small Tables,2 Ports,Two Individual Cabinets,Standard Window Panel,Attached Indian Bathroom,"[Warden: RS Tomar-Age 47-Male]","WiFi Access",3-Meal Standard Student Diet,10:00 PM Gate Close,https://images.unsplash.com/photo-1586023492125-27b2c045efd7,29.8543,77.8880
33,Srinivasa Boys PG,Boys,Tirupati,Municipal Supply Only,4500,130 sq ft,Iron Frame Twin,Non-AC,Triple Sharing,3-Inch Cotton Gaddi,Common Study Rows,1 Port near Bed,Three Small Safes,Standard Window,Common Indian Stack,"[Guard: Subba Rao-Age 57-Male]","Water Cooler",2-Meal Simple South Indian,10:00 PM Locking,https://images.unsplash.com/photo-1596276020587-8044fe249d5a,13.6288,79.4192
34,Kasturba Girls Stay,Girls,Indore,Standard Filtered Water,6000,150 sq ft,Wooden Twin Frame,Non-AC,Double Sharing,4-Inch Regular Foam,Combined Reading Plank,2 Ports,Two Independent Lockers,Standard Window Vent,Attached Indian Bathroom,"[Warden: Sunita Bai-Age 50-Female]","WiFi Layout",3-Meal MP Style Veg Diet,09:00 PM Fingerprint Log,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6,22.7196,75.8577
35,Vikas Boys Mansion,Boys,Patna,Municipal Supply Only,4100,125 sq ft,Simple Iron Frame,Non-AC,Triple Sharing,3-Inch Cotton Mattress,Common Study Hall,1 Port Shared,Three Wall Storage Boxes,Mesh Air Vent,Common Indian Washroom,"[Supervisor: Manoj Singh-Age 45-Male]","Basic Utilities",2-Meal Bihari Style Diet,10:00 PM Automated Gate,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,25.5941,85.1376
36,Laxmi Girls Lodge,Girls,Nagpur,Standard Filtered Water,5400,140 sq ft,Metal Single Twin,Non-AC,Double Sharing,4-Inch Regular Foam,Standard Double Desks,2 Ports,Two Slim Steel Lockers,Standard Mesh Window,Attached Indian Bathroom,"[Warden: R. Deshmukh-Age 51-Female]","WiFi Tracker",3-Meal Varadi Veg Scheme,09:00 PM Log Register,https://images.unsplash.com/photo-1554995207-c18c203602cb,21.1458,79.0882
37,Vivekananda Boys Nest,Boys,Bhubaneswar,Standard Filtered Water,4800,135 sq ft,Simple Cot Single,Non-AC,Double Sharing,3-Inch Foam Unit,Small Corner Tables,2 Ports,Two Paint-Coated Drawers,Standard Air Window,Attached Indian Washroom,"[Caretaker: Mohanty-Age 42-Male]","WiFi Enabled",3-Meal Standard Rice Diet,10:30 PM Door Lock,https://images.unsplash.com/photo-1513694203232-719a280e022f,20.2961,85.8245
38,Assam Student Sadan,Boys,Guwahati,Municipal Supply Only,4300,130 sq ft,Iron Bunk Structure,Non-AC,Multiple Sharing,3-Inch Cotton Bed,Common Long Study Desk,1 Power Stripe,Small Wall Safes,Standard Mesh Window,Common Indian Toilets,"[Guard: Bora-Age 52-Male]","Water Filter",2-Meal Regular Rice Menu,09:30 PM Lock Up,https://images.unsplash.com/photo-1513694203232-719a280e022f,26.1158,91.7086
39,Vaishno Girls PG,Girls,Jammu,Standard Filtered Water,5700,145 sq ft,Iron Frame Single,Non-AC,Double Sharing,4-Inch Coir Mattress,Two Simple Ply Desks,2 Ports,Two Separate Almirahs,Standard Ventilation,Attached Western Toilet,"[Warden: Kanta Devi-Age 55-Female]","WiFi Layout",3-Meal North Indian Menu,08:30 PM Sign-In Book,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf,32.7266,74.8570
40,Cauvery Girls Hostel,Girls,Trichy,Municipal Supply Only,4600,140 sq ft,Triple Iron Bunk,Non-AC,Multiple Sharing,3-Inch Basic Cotton,Central Group Bench,1 Shared Power Node,Wall Cabinet Segments,Wide Mesh Window Panel,Common Indian Blocks,"[Warden: S. Amma-Age 58-Female]","Laundry Tub Access",Govt Subsidized 2-Meal Plan,08:00 PM Strict Lock,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf,10.7905,78.7047
41,Coimbatore Boys Lodge,Boys,Coimbatore,Standard Filtered Water,5000,135 sq ft,Simple Cot Layout,Non-AC,Double Sharing,4-Inch Foam Bed,Compact Corner Plank,2 Ports,Two Single Metal Lockers,Standard Air Vent,Attached Indian Bathroom,"[Caretaker: Palaniswamy-Age 44-Male]","WiFi Access",3-Meal Tamil Veg Scheme,10:00 PM Entry Limit,https://images.unsplash.com/photo-1566140967404-b878994e2026,11.0168,76.9558
42,Savitri Girls Mansion,Girls,Gwalior,Municipal Supply Only,4400,135 sq ft,Simple Wooden Cot,Non-AC,Double Sharing,3-Inch Coir Frame,Small Plywood Table,1 Port,Two Painted Almirahs,Standard Window,Common Indian Bathroom,"[Warden: Rajni-Age 49-Female]","Security Guard",2-Meal Basic Diet Scheme,08:30 PM Gate Close,https://images.unsplash.com/photo-1513694203232-719a280e022f,26.2183,78.1828
43,Punjab Boys Residency,Boys,Jalandhar,Standard Filtered Water,5500,150 sq ft,Heavy Hardwood Single,Non-AC,Double Sharing,5-Inch Coir Mattress,Individual Desks facing wall,2 Ports,Twin Metal Lockers,Double Panel Window,Attached Western Style,"[Warden: Swarn Singh-Age 50-Male]","WiFi,24/7 CCTV",3-Meal Heavy North Menu,10:30 PM Gate Lock,https://images.unsplash.com/photo-1586023492125-27b2c045efd7,31.3260,75.5762
44,Narayana Boys Stay,Boys,Nellore,Municipal Supply Only,4600,130 sq ft,Iron Quad Bunk,Non-AC,Multiple Sharing,3-Inch Cotton Gaddi,Common Group Reading Hall,1 Shared Power Stripe,Small Wall Closets,Standard Mesh Window,Common Indian Block,"[Guard: Venkat-Age 55-Male]","Water Cooler",3-Meal Andhra Meals,10:00 PM Curfew,https://images.unsplash.com/photo-1596276020587-8044fe249d5a,14.4426,79.9865
45,Meerut Girls Nest,Girls,Meerut,Standard Filtered Water,5200,140 sq ft,Iron Frame Twin,Non-AC,Double Sharing,4-Inch Foam,Combined Study Plank,2 Ports,Two Standing Steel Almirahs,Standard Ventilation,Attached Indian Bathroom,"[Warden: Pushpa-Age 52-Female]","WiFi Setup",3-Meal Regular UP Veg,08:30 PM Lock Up,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf,28.9845,77.7064
46,Udupi Student Mansion,Boys,Udupi,Municipal Supply Only,4300,135 sq ft,Iron Frame Single,Non-AC,Triple Sharing,3-Inch Cotton Bed,Common Table Arrays,1 Power Node Bed,Three Small Lockers,Standard Window,Common Indian Washrooms,"[Owner: Shetty-Age 56-Male]","Basic Facilities",2-Meal Traditional Kitchen,10:00 PM Locking,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,13.3409,74.7421
47,Rajnandini Girls PG,Girls,Agra,Standard Filtered Water,5900,145 sq ft,Wooden Single Cot,Non-AC,Double Sharing,4-Inch Regular Foam,Standard Double Study Setup,2 Ports,Two Separate Almirahs,Standard Window,Attached Indian Bathroom,"[Warden: S. Sharma-Age 54-Female]","WiFi Tracker",3-Meal Homely Pure Veg,09:00 PM Entry Register,https://images.unsplash.com/photo-1554995207-c18c203602cb,27.1767,78.0081
48,Anand Boys Lodge,Boys,Anand,Municipal Supply Only,4200,130 sq ft,Iron Bunk Bed,Non-AC,Multiple Sharing,3-Inch Cotton Gaddi,Common Shared Reading Hall,1 Shared Extension Strip,Small Metal Compartments,Standard Window Panel,Common Indian Stack,"[Caretaker: Patel-Age 43-Male]","No Extra Services",2-Meal Basic Scheme,10:30 PM Strict Lock Up,https://images.unsplash.com/photo-1536376072261-38c75010e6c9,22.5645,72.9289
49,Himachal Boys HUB,Boys,Shimla,Standard Filtered Water,5600,140 sq ft,Hardwood Twin Cot,Non-AC,Double Sharing,5-Inch Regular Foam,Individual Desks facing wall,2 Ports,Twin Wooden Lockers,Double Panel Window,Attached Western Style,"[Warden: Thapa-Age 49-Male]","WiFi,Power Backup",3-Meal Standard Diet Menu,10:30 PM Gate Lock,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6,31.1048,77.1734
50,Malwa Girls Sadan,Girls,Ujjain,Municipal Supply Only,4500,135 sq ft,Simple Cot Single,Non-AC,Double Sharing,3-Inch Foam Unit,Small Corner Tables,1 Port,Two Paint-Coated Closets,Standard Air Window,Common Indian Bathroom,"[Warden: Joshi-Age 51-Female]","Security Guard",2-Meal Basic Diet Plan,08:30 PM Gate Close,https://images.unsplash.com/photo-1595526114035-0d45ed16cfbf,23.1760,75.7885
51,Gokul Boys Elite,Boys,Mathura,Standard Filtered Water,5100,140 sq ft,Simple Iron Single,Non-AC,Double Sharing,4-Inch Regular Foam,Standard Corner Table,2 Ports,Two Separate Slim Cabinets,Standard Air Window,Attached Indian Bathroom,"[Caretaker: Chaturvedi-Age 45-Male]","WiFi Enabled",3-Meal Simple Pure Veg,10:30 PM Entry Limit,https://images.unsplash.com/photo-1566140967404-b878994e2026,27.4924,77.673752,Babrekar,4000,Girls,AC Available,double,Mumbai,18.5204,73.8567,https://images.unsplash.com/photo-1555854877-bab0e564b8d5?auto=format&fit=crop&w=800&q=80,
